event_id,mag,scaled_mag,depth_km,depth_category,felt,gap,sig,significant,region,station_network,local_claims_filed
us6000ticb,4.1,0.33333333333333326,35,shallow,0,171,259,0,"Palaióchora, Greece",unknown,0
us6000tid5,2.9,0.08333333333333331,35,shallow,0,226,129,0,"Nikolski, Alaska",unknown,0
us6000tid4,2.9,0.08333333333333331,5.965,shallow,0,218,129,0,"Nikolski, Alaska",PNSN-07,8
us6000thcu,4.5,0.4166666666666667,10.069,shallow,0,120,312,0,"Sulangan, Philippines",PNSN-07,11
aka2026pbngng,2.6,0.020833333333333353,2.5,shallow,0,313,104,0,"Unalaska, Alaska",PNSN-07,15
us6000thcs,5.1,0.5416666666666666,10,shallow,0,68,400,1,"Masohi, Indonesia",USGS-WEST,7
us6000thcq,5.1,0.5416666666666666,10,shallow,0,60,400,1,"Masohi, Indonesia",PNSN-07,5
us6000tid0,2.5,0.0,94.092,intermediate,0,153,96,0,"Adak, Alaska",unknown,0
aka2026pbmqmw,2.5,0.0,98.5,intermediate,0,118,96,0,"Adak, Alaska",SCEDC-01,12
us6000tica,4.3,0.375,63.941,shallow,0,125,284,0,"Ternate, Indonesia",unknown,0
us6000thck,4.1,0.33333333333333326,10,shallow,0,84,259,0,"Masohi, Indonesia",PNSN-07,6
us6000tic8,4.4,0.3958333333333334,39.713,shallow,0,127,298,0,"Sulangan, Philippines",unknown,0
us6000tic9,4.1,0.33333333333333326,10,shallow,0,113,259,0,"Masohi, Indonesia",unknown,0
us6000thci,4.1,0.33333333333333326,30.343,shallow,0,194,259,0,"Yamada, Japan",SCEDC-01,6
us6000tic5,4.1,0.33333333333333326,10,shallow,0,100,259,0,"Masohi, Indonesia",unknown,0
us6000thf0,3.6,0.22916666666666669,23.896,shallow,0,201,199,0,"Atka, Alaska",SCEDC-01,9
us6000thc9,4.5,0.4166666666666667,10,shallow,0,61,312,0,"Simao, China",CEA-12,4
us6000thca,4.5,0.4166666666666667,58.284,shallow,0,132,312,0,"Sarangani, Philippines",CEA-12,0
us6000thc6,4.4,0.3958333333333334,10,shallow,0,68,298,0,"Masohi, Indonesia",unknown,0
us6000thc1,4.4,0.3958333333333334,10,shallow,0,124,298,0,"Puerto Madero, Mexico",USGS-WEST,13
us6000tic3,4.4,0.3958333333333334,10,shallow,0,58,298,0,"Masohi, Indonesia",unknown,0
us6000thbz,4.4,0.3958333333333334,349.413,deep,0,119,298,0,the Fiji Islands,PNSN-07,1
us6000thbu,4.6,0.43749999999999994,10,shallow,0,50,326,0,"Masohi, Indonesia",PNSN-07,11
us6000thbs,4.4,0.3958333333333334,43.324,shallow,0,81,298,0,"Hulbuk, Tajikistan",USGS-WEST,1
us6000thbq,5.3,0.5833333333333334,10,shallow,0,25,432,1,"Masohi, Indonesia",SCEDC-01,9
us6000tic2,4.5,0.4166666666666667,10,shallow,0,46,312,0,"Masohi, Indonesia",unknown,0
ci40664370,2.98,0.1,14.39,shallow,360,17,259,0,"Palomar Observatory, CA",PNSN-07,3
nc75409242,2.92,0.0875,5.01,shallow,8,52,133,0,"Gilroy, CA",PNSN-07,0
us6000thbi,4.3,0.375,83.056,intermediate,0,195,284,0,"El Arenal, Mexico",SCEDC-01,14
us6000tic1,4.6,0.43749999999999994,10,shallow,0,158,326,0,Easter Island region,unknown,0
us6000thb5,5.2,0.5625000000000001,35,shallow,0,44,416,1,South Sandwich Islands region,SCEDC-01,5
us6000thaw,3.1,0.12500000000000003,10,shallow,22,141,156,0,"Miramichi, Canada",CEA-12,8
us6000ticr,2.5,0.0,35,shallow,0,225,96,0,"Unalaska, Alaska",unknown,0
aka2026pbdjqy,2.5,0.0,33.3,shallow,0,224,96,0,"Adak, Alaska",CEA-12,4
us6000tibz,4.5,0.4166666666666667,10,shallow,0,215,312,0,Kermadec Islands region,PNSN-07,14
us6000th96,5,0.5208333333333334,11.851,shallow,0,57,385,1,"Coquimbo, Chile",SCEDC-01,13
us6000th99,4.5,0.4166666666666667,5,shallow,13,69,319,0,"Torretta-Scalzapecora, Italy",PNSN-07,8
us6000th92,3.4,0.1875,35,shallow,0,202,178,0,"King Cove, Alaska",CEA-12,7
us6000ticp,2.5,0.0,43.26,shallow,0,241,96,0,"Adak, Alaska",PNSN-07,13
us6000tibw,4.3,0.375,74.696,intermediate,0,99,284,0,"Colonia, Micronesia",CEA-12,10
us6000th8n,5.2,0.5625000000000001,10,shallow,0,206,416,1,"Puerto Madero, Mexico",PNSN-07,0
aka2026payuvl,2.5,0.0,2.4,shallow,1,55,96,0,"Funny River, Alaska",PNSN-07,4
us6000th8m,4.7,0.45833333333333337,10,shallow,0,83,340,0,"Puerto Ayora, Ecuador",SCEDC-01,10
us6000th8j,4.4,0.3958333333333334,10,shallow,0,183,298,0,"Puerto Madero, Mexico",SCEDC-01,0
us6000th8h,2.5,0.0,10,shallow,0,127,96,0,"Hope, Kansas",PNSN-07,12
us6000tibr,4.3,0.375,10,shallow,0,207,284,0,"Puerto Madero, Mexico",CEA-12,15
aka2026pawdol,2.7,0.041666666666666706,10,shallow,0,30,112,0,"Denali National Park, Alaska",CEA-12,8
us6000th82,4.2,0.35416666666666674,100.048,intermediate,0,100,271,0,"San Felipe, Chile",USGS-WEST,8
us6000tici,2.9,0.08333333333333331,10,shallow,0,293,129,0,"Atka, Alaska",PNSN-07,15
aka2026patvnn,3.2,0.14583333333333337,84.5,intermediate,0,65,158,0,"Karluk, Alaska",SCEDC-01,0
us6000th7y,4.6,0.43749999999999994,10,shallow,0,90,326,0,"Amagi, Japan",PNSN-07,5
aka2026paruhb,2.5,0.0,1,shallow,0,31,96,0,"Denali National Park, Alaska",PNSN-07,9
us6000tibn,4.6,0.43749999999999994,10,shallow,0,89,326,0,"Abepura, Indonesia",unknown,0
us6000ti60,2.5,0.0,28.86,shallow,0,229,96,0,"False Pass, Alaska",unknown,0
us6000th7q,4.2,0.35416666666666674,58.709,shallow,4,72,273,0,"Titahi Bay, New Zealand",PNSN-07,12
aka2026paofid,2.9,0.08333333333333331,10,shallow,0,167,129,0,"Chiniak, Alaska",PNSN-07,12
us6000ti5x,2.9,0.08333333333333331,35,shallow,0,201,129,0,"Sand Point, Alaska",unknown,0
us6000th7i,4.3,0.375,10,shallow,0,167,284,0,"Mazār-e Sharīf, Afghanistan",PNSN-07,14
us6000tiuc,4.2,0.35416666666666674,35,shallow,0,116,271,0,"San Cristóbal, Mexico",unknown,0
us6000th7g,4.4,0.3958333333333334,10,shallow,0,146,298,0,"Puerto Madero, Mexico",CEA-12,15
us6000th6a,4.6,0.43749999999999994,10,shallow,0,84,326,0,"Dāmghān, Iran",CEA-12,8
us6000ti5r,2.9,0.08333333333333331,10,shallow,0,229,129,0,"Akutan, Alaska",PNSN-07,0
us6000tibl,4.1,0.33333333333333326,186.332,intermediate,0,144,259,0,Kermadec Islands region,PNSN-07,10
us6000th68,4.9,0.5000000000000001,10,shallow,0,53,369,0,"Banda Aceh, Indonesia",PNSN-07,1
us6000tibj,4.3,0.375,10,shallow,0,145,284,0,"Hengchun, Taiwan",SCEDC-01,9
us6000th6b,3.5,0.20833333333333334,11.178,shallow,0,212,188,0,"Atka, Alaska",CEA-12,7
us6000th63,4.4,0.3958333333333334,576.772,deep,0,90,298,0,Fiji region,unknown,0
us6000th5s,5,0.5208333333333334,10,shallow,0,123,385,1,Kermadec Islands region,unknown,0
us6000tibg,4.3,0.375,10,shallow,0,181,284,0,"Kokopo, Papua New Guinea",unknown,0
us6000th5m,4.1,0.33333333333333326,10,shallow,3,79,259,0,"Campbell River, Canada",PNSN-07,3
us6000ti4a,2.7,0.041666666666666706,68.706,shallow,0,211,112,0,"Atka, Alaska",USGS-WEST,6
us6000th5i,4.1,0.33333333333333326,10,shallow,1,163,259,0,"Kirkuk, Iraq",CEA-12,5
us6000tiub,4.2,0.35416666666666674,10,shallow,0,215,271,0,"Ocós, Guatemala",unknown,0
us6000thlu,4.6,0.43749999999999994,8.6,shallow,0,96,326,0,Kermadec Islands region,USGS-WEST,4
us6000th5f,5,0.5208333333333334,35,shallow,0,69,385,1,Kermadec Islands region,SCEDC-01,14
us6000ti48,3,0.10416666666666667,16.385,shallow,0,259,138,0,"False Pass, Alaska",unknown,0
us6000ti47,2.9,0.08333333333333331,187.552,intermediate,0,178,129,0,"Adak, Alaska",unknown,0
us6000th57,4.1,0.33333333333333326,97.35,intermediate,0,139,259,0,"Tsukuba, Japan",unknown,0
nn00922625,2.67,0.03541666666666665,6.8187,shallow,1,116,110,0,"Alamo, Nevada",PNSN-07,4
us6000tibb,4.3,0.375,35,shallow,0,264,284,0,Kermadec Islands region,unknown,0
us6000th54,4.6,0.43749999999999994,35,shallow,0,135,326,0,Kermadec Islands region,unknown,0
us6000th4p,4.3,0.375,10,shallow,0,229,284,0,"Manta, Ecuador",USGS-WEST,0
us6000th4k,5.6,0.6458333333333333,156.481,intermediate,13,59,487,1,"San Fernando, Peru",CEA-12,13
us6000ti3h,4.1,0.33333333333333326,57.447,shallow,0,178,259,0,"La Esperanza (El Zapotal), Mexico",SCEDC-01,0
us6000thuv,2.6,0.020833333333333353,35,shallow,0,208,104,0,"Sand Point, Alaska",unknown,0
us6000th43,4.7,0.45833333333333337,64.167,shallow,0,127,340,0,"Petropavlovsk-Kamchatsky, Russia",CEA-12,10
us6000th3m,5.1,0.5416666666666666,72.408,intermediate,0,96,400,1,"Petropavlovsk-Kamchatsky, Russia",SCEDC-01,0
us6000tiu7,4.3,0.375,10,shallow,0,203,284,0,"Puerto Madero, Mexico",USGS-WEST,8
us6000th36,4.1,0.33333333333333326,194.601,intermediate,0,98,259,0,"San Antonio de los Cobres, Argentina",CEA-12,4
aka2026ozlsmh,2.5,0.0,9.4,shallow,0,165,96,0,"Ivanof Bay, Alaska",CEA-12,11
us6000th30,5,0.5208333333333334,10,shallow,0,111,385,1,Kermadec Islands region,CEA-12,5
us6000ti3a,4.2,0.35416666666666674,36.078,shallow,0,72,271,0,"Abepura, Indonesia",USGS-WEST,6
us6000th2y,4.5,0.4166666666666667,35,shallow,0,180,312,0,"La Libertad, El Salvador",SCEDC-01,0
us6000th2x,4.4,0.3958333333333334,10,shallow,0,91,298,0,"Oula Xiuma, China",USGS-WEST,12
us6000ti39,4.4,0.3958333333333334,10,shallow,0,105,298,0,Kermadec Islands region,CEA-12,2
us6000thta,3.1,0.12500000000000003,35,shallow,0,230,148,0,"Atka, Alaska",CEA-12,9
us6000th1t,5,0.5208333333333334,8.468,shallow,0,92,385,1,"Puerto Madero, Mexico",unknown,0
us6000th1p,4.5,0.4166666666666667,257.684,intermediate,0,64,312,0,"Ambon, Indonesia",PNSN-07,0
us6000th1h,5.9,0.7083333333333335,29.875,shallow,0,19,536,1,"Colonia, Micronesia",PNSN-07,11
us6000ti35,4.4,0.3958333333333334,373.47,deep,0,60,298,0,"Alo, Wallis and Futuna",CEA-12,13
us6000th1b,5.1,0.5416666666666666,10,shallow,0,166,400,1,Kermadec Islands region,PNSN-07,5
us6000th0z,4.5,0.4166666666666667,10,shallow,0,90,312,0,"Hualien City, Taiwan",PNSN-07,1
us6000th0s,4.3,0.375,66.192,shallow,0,152,284,0,"Noda, Japan",SCEDC-01,0
us6000tgzq,4.2,0.35416666666666674,137.734,intermediate,0,122,271,0,"San Pedro de Atacama, Chile",USGS-WEST,11
us6000tgzi,4.1,0.33333333333333326,199.112,intermediate,0,62,259,0,"San Antonio de los Cobres, Argentina",PNSN-07,12
nc75408617,3.42,0.19166666666666665,7.26,shallow,26,42,188,0,"Toms Place, CA",PNSN-07,4
us6000ti2w,4,0.3125,10,shallow,0,199,246,0,"La Esperanza (El Zapotal), Mexico",PNSN-07,13
us6000tgzc,4.1,0.33333333333333326,10,shallow,4,124,260,0,"Kirkuk, Iraq",PNSN-07,1
us6000ti2t,4.2,0.35416666666666674,10,shallow,0,161,271,0,"Brisas Barra de Suchiate, Mexico",PNSN-07,4
us6000tgyg,4.4,0.3958333333333334,30.123,shallow,0,59,298,0,"Abepura, Indonesia",USGS-WEST,14
us6000tht3,2.8,0.062499999999999965,10,shallow,0,237,121,0,"Unalaska, Alaska",PNSN-07,5
us6000th2i,4.5,0.4166666666666667,10,shallow,0,86,312,0,"Fakfak, Indonesia",PNSN-07,0
us6000ti2q,4.3,0.375,10,shallow,0,142,284,0,"Kirkuk, Iraq",unknown,0
nc75408517,2.76,0.05416666666666663,3.31,shallow,10,35,120,0,"Gilroy, CA",CEA-12,9
us6000ti2p,4.5,0.4166666666666667,35,shallow,0,101,312,0,"Abepura, Indonesia",USGS-WEST,11
us6000tgy8,5,0.5208333333333334,10,shallow,2,107,386,1,"Uto, Japan",SCEDC-01,1
us6000ti2n,4.2,0.35416666666666674,35,shallow,0,99,271,0,"Abepura, Indonesia",USGS-WEST,7
us6000tgy6,4.3,0.375,464.296,deep,0,83,284,0,"Baukau, Timor Leste",SCEDC-01,4
us6000ti2l,4.2,0.35416666666666674,621.457,deep,0,95,271,0,Vanuatu region,SCEDC-01,2
us6000ti2h,4.6,0.43749999999999994,10,shallow,0,138,326,0,Kermadec Islands region,unknown,0
pr71526788,2.88,0.07916666666666665,27.24,shallow,0,244,128,0,"San Antonio, Puerto Rico",unknown,0
us6000ti2f,4.3,0.375,77.656,intermediate,0,125,284,0,"Pelabuhanratu, Indonesia",unknown,0
us6000thc5,2.6,0.020833333333333353,10,shallow,0,245,104,0,"Sand Point, Alaska",unknown,0
us6000ti2d,4.1,0.33333333333333326,10,shallow,0,182,259,0,"Puerto Madero, Mexico",unknown,0
us6000ti2c,4.3,0.375,130.623,intermediate,0,107,284,0,"Neiafu, Tonga",unknown,0
us6000tgx5,4.5,0.4166666666666667,10,shallow,0,139,312,0,"Murghob, Tajikistan",PNSN-07,15
us6000ti2b,4.6,0.43749999999999994,10,shallow,0,166,326,0,Kermadec Islands region,unknown,0
us6000ti2a,4.5,0.4166666666666667,35,shallow,0,71,312,0,"Hihifo, Tonga",unknown,0
