event_id,station_network,local_claims_filed
us7000t1ii,SCEDC-01,12
us7000t1y6,CEA-12,14
us7000t0uq,PNSN-07,12
us7000t31x,USGS-WEST,3
us6000tgjb, PNSN-07	,13
us6000taab, PNSN-07	, 2 
us7000t27j,PNSN-07,0
aka2026nglovt,USGS-WEST,
us7000sze1,SCEDC-01,9
us6000taz1,PNSN-07,12
us7000t35y,CEA-12,11
us7000t2qn,USGS-WEST,7
us7000t1ac,USGS-WEST,8
us7000t35j,PNSN-07,2
us7000t1bu,CEA-12,11
us7000szaw,SCEDC-01,9
usawts7jskwr,CEA-12,14
us7000t2hm, PNSN-07	,0
us7000t0e0,USGS-WEST,4
us6000tauc,SCEDC-01,3
us7000t01q, PNSN-07	,14
us6000tghv,SCEDC-01,8
ci41285127,CEA-12,8
us6000tged,CEA-12,10
pr71524948,SCEDC-01,1
us7000sz57, PNSN-07	,N/A
pr71524788, PNSN-07	,4
uwh6xz5n6d, PNSN-07	,5
nc75394216,SCEDC-01,15
aka2026oytalq,CEA-12,1
us7000t0vz,SCEDC-01,6
us6000th36,CEA-12,4
aka2026payuvl,PNSN-07,4
us6000ti55,PNSN-07,14
us7000szjd,SCEDC-01,4
aka2026ncabar,USGS-WEST,10
pr71524338,SCEDC-01,3
aka2026ompmvz, PNSN-07	,0
us7000t1dh,CEA-12,4
us7000t284,SCEDC-01,0
akkzrb8hc7h,USGS-WEST,2
us7000t1ee,PNSN-07,15
us7000t3hl,USGS-WEST,10
tx2026ojysxv,SCEDC-01,14
us7000t0z8, PNSN-07	,15
ako4ay8q5t,PNSN-07,5
us7000t0v0,PNSN-07,3
cif2282u708n, PNSN-07	,15
us7000t2ra,USGS-WEST,12
uw4oebdoqbkb,SCEDC-01, 15 
us7000t0ra,SCEDC-01,4
us6000tasa,PNSN-07,13
ncpipxqch34t,CEA-12,11
pr2026209002,PNSN-07,10
us7000t085,CEA-12,11
us6000ti2n,USGS-WEST,7
aka2026occhwe,CEA-12,13
uu80145411, PNSN-07	,7
ci40664370, PNSN-07	,3
us6000taxz,USGS-WEST,3
us7000t0dr,USGS-WEST,0
us6000th6a,CEA-12,8
hv75000146,SCEDC-01,8
us7000szd7,USGS-WEST,7
us6000taht,CEA-12,14
nc75408517,CEA-12,9
us7000t2fy,CEA-12,3
us7000t2pz,USGS-WEST,8
us6000tgbx,USGS-WEST,9
us7000t28y, PNSN-07	,11
ak2d2wb5l7,USGS-WEST,9
us7000t3di,CEA-12,13
us7000t2kz,USGS-WEST,N/A
us7000t276,CEA-12,6
uw714067081,PNSN-07,8
us7000szl8,PNSN-07,11
